Filename,Formula,Notes,Num Elements,2c1,2c2
,,,,0.250 0.250 0.150(1) ,0.250 0.250 0.600(1) 
527049.cif,Ag1.5Hf0.5,,2,Ag0.5Hf0.5,Ag
1815856.cif,Ag1.02Hf0.98,,2,Hf0.98Ag0.02,Ag
1826520.cif,AgHf,,2,Hf,Ag
528891.cif,AgHf,,2,Hf,Ag
1826507.cif,AgZr,,2,Zr,Ag
260733.cif,AgZr,,2,Zr,Ag
527770.cif,AgZr,,2,Zr,Ag
528846.cif,AuHf,rt,2,Hf,Au
261356.cif,AuTi,rt,2,Ti,Au
528849.cif,AuTi,rt,2,Ti,Au
1010265.cif,CuTi,tet1,2,Ti,Cu
1501014.cif,CuTi,tet1,2,Ti,Cu
457415.cif,CuTi,tet1,2,Ti,Cu
457547.cif,CuTi,tet1,2,Ti,Cu
261228.cif,CuTi,tet1,2,Ti,Cu
1250957.cif,CuTi,tet1,2,Ti,Cu
453064.cif,Cu0.96Ti1.04,tet1,2,Ti,Cu0.96Ti0.04
545036.cif,PdTa,rt,2,Ta,Pd
452031.cif,PdTa,rt,2,Pd,Ta
