Symbol,x,y
Li,0.9352940078688475,-1.7002367026877652
Be,1.4025696142413457,-1.6962198907337545
B,2.3452063815929334,-1.550807504930566
C,2.9476356669866326,-1.5181398152293375
N,3.60846105900899,-1.5737525200426745
O,3.926789407764346,-1.5840693904253071
F,4.416163478492066,-1.5572664033721524
Na,0.8076113868299758,-1.3957960155361604
Mg,1.1817526321706295,-1.407888603877926
Al,1.86612828507956,-1.3029546597282395
Si,2.604019075326291,-1.3310173724002707
P,3.244129845162987,-1.293620290744984
S,3.6298396058871965,-1.251714079578323
Cl,3.9097203259712994,-1.208464149711862
K,0.539825209421952,-0.9706617767537938
Ca,0.897655283846655,-0.986650267152014
Sc,0.9760036223973068,-0.8512815063174681
Ti,1.258167190528043,-0.7692845057350378
V,1.3906030384285535,-0.7260711088209301
Cr,1.3882712916059134,-0.7500095375430536
Mn,1.5796806547061681,-0.6756848996938798
Fe,1.6737333523883597,-0.6311405009180965
Co,1.667167087220581,-0.5774607159047859
Ni,1.6755363827729388,-0.557803869871193
Cu,1.5464559961630349,-0.6087722010655263
Zn,1.6829542394718053,-0.5973946643339979
Ga,1.9372439431670954,-0.5774875560715456
Ge,2.4448438488936906,-0.5078160654468503
As,2.7743987774515424,-0.5686831242234143
Se,3.43057470410503,-0.44892440187332056
Br,3.807329887643506,-0.38569191741685693
Rb,0.2743516361169093,-0.3156235001111111
Sr,0.6169739596791347,-0.31789382786844167
Y,0.6386761315462237,-0.16151347890930096
Zr,0.8639879052391954,-0.06840320338070825
Nb,0.9310335811337106,-0.029188140212473616
Mo,1.0473157376022004,0.03720406734988914
Tc,1.2076574487724996,0.1776294821664805
Ru,1.2194950333016028,0.13380549302570904
Rh,1.2414705435028974,0.16269741056940598
Pd,1.4871638511305463,0.06492455946810162
Ag,1.2954654387746445,0.13302683167568488
Cd,1.3908612069299826,0.1368486908064448
In,1.550804496360212,0.24569395550134226
Sn,1.8316576517662246,0.31313093830865574
Sb,2.441352893122314,0.3352299047863371
Te,2.9176377360621615,0.46700783508616406
I,3.298373482532225,0.5388972250018875
Cs,-0.18800042640420517,0.6408619195239583
Ba,0.15730578443221052,0.6336931915752384
La,0.1841644817277481,0.7799939775038651
Ce,0.27572425359846947,0.9479336569077653
Pr,0.06874966010050777,0.990666763701807
Nd,0.11576436959696908,1.0682504730504534
Pm,0.06277018035396052,0.9710729272488612
Sm,0.02020070130897432,1.14730768523244
Eu,0.0016615439215707448,1.2054636325109531
Gd,-0.09677612918743024,1.3325337502784083
Tb,-0.1178135571142524,1.3932017702587924
Dy,-0.13720130690977234,1.428239886697239
Ho,-0.1870621150279338,1.5050058728748288
Er,-0.22733180680393036,1.586443846896307
Tm,-0.2099959279893773,1.6464013764387224
Yb,-0.26764796139717956,1.6828849852788845
Lu,-0.36517214360453343,1.7923509197237883
Hf,-0.23273332928742257,1.9402693511707727
Ta,-0.11506085920692417,2.115642006267818
W,0.002899883525769706,2.257992321644207
Re,0.08106110387750495,2.3661931726769176
Os,0.16889308662058142,2.4773604766118056
Ir,0.18394005397443297,2.4875014955494126
Pt,0.16032135094743855,2.484195204697102
Au,0.21013683681139828,2.5938847203439654
Hg,0.2848711498961199,2.4991849674364484
Tl,0.39475104331979455,2.6689982952592977
Pb,0.5832180717688397,2.7588179222397953
Bi,0.7931251800479432,2.798252002816295
Th,-0.9763144225486963,3.566140267762087
U,-1.0349534062327492,3.820785174882092
