Symbol,Atomic weight,Atomic number,Period,Group,quantum  number l,Metal(1)/ metalloid(2)/ nonmetal(3),Mendeleev number,Families,valence s,valence p,valence d,valence f,unfilled s,unfilled p,unfilled d,unfilled f,no. of  valence  electrons,outer shell electrons,Gilman no. of valence electrons,"Pauling valence,  v",Metallic  valence,Zeff,1st Bohr radius (a0),Ionization energy (eV),Electron affinity (ev),Pearson absolute (eV),Ghosh Gupta (eV),Pauling EN,Martynov Batsanov EN,Mulliken EN,Allred EN,Allred Rockow EN,Nagle EN,Putz Russo Sicillia EN,Gordy EN,Ghosh EN,Atomic radius calculated,Covalent radius,Ionic radius,Effective ionic radius,Miracle radius,van der Waals radius,Zunger radii sum,Crystal radius,Covalent CSD radius,Slater radius,Orbital radius,"Pauling, R(CN12)","Pauling, R(1)","polarizability, A^3","Melting point, K","Boiling point, K","Density,  g/mL","Specific heat, J/g K","Heat of fusion,  kJ/mol","Heat of vaporization,  kJ/mol","Heat of atomization,  kJ/mol","Thermal conductivity, W/m K","Thermal expansion,  K^-1",Cohesive  energy,"Bulk modulus, GPa","Sheer modulus, GPa","Young modulus, GPa","Hardness Vickers, GPa","Hardness Brinell, GPa",Resistivity (mΩ),Electrical Conductivity  (S/m),DFT LDA Etot,DFT LDA Ekin,DFT LDA Ecoul,DFT LDA Eenuc,DFT LDA Exc,DFT LSD Etot,DFT LSD Ekin,DFT LSD Ecoul,DFT LSD Eenuc,DFT LSD Exc,DFT RLDA Etot,DFT RLDA Ekin,DFT RLDA Ecoul,DFT RLDA Eenuc,DFT RLDA Exc,DFT ScRLDA Etot,DFT ScRLDA Ekin,DFT ScRLDA Ecoul,DFT ScRLDA Eenuc,DFT ScRLDA Exc,Neutron Cross Section,Neutron Mass Absorption
Li,6.941,3,2,1,0,1,1,1,1,0,0,0,1,6,10,14,1,1,1,1,1,1.259,1.681,5.392,0.622,3.01,2.444,0.98,0.9,3.01,0.98,0.912,0.94,3.02,0.95,1.13,1.670,1.340,0.900,0.760,1.520,1.820,1.610,0.900,1.280,1.450,1.586,1.549,1.225,24.3,453.65,1615.15,0.535,3.6,3,145.92,161,84.7,0.000046,1.63,11.6,4.2,4.9,NaN,0.005,9.4E-08,11000000,-7.335195,7.237484,3.990755,-16.911041,-1.652393,-7.343957,7.249892,4.009258,-16.937918,-1.665189,-7.335231,7.237592,3.99073,-16.911917,-1.651635,-7.335231,7.237481,3.990704,-16.911792,-1.651624,71,NaN
Be,9.012,4,2,2,0,1,7,2,2,0,0,0,0,6,10,14,2,2,2,2,2,1.656,1.278,9.323,-0.519,4.9,3.706,1.57,1.45,4.9,1.57,1.576,1.55,3.4,1.45,3.81,1.120,0.900,0.590,0.450,1.120,1.530,1.080,0.410,0.960,1.050,1.040,1.123,0.889,5.6,1551.15,3243.15,1.85,1.82,7.95,292.4,324,200,0.0000113,3.32,110,132,287,1.67,0.6,4E-08,25000000,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447997,14.311787,7.115741,-33.362526,-2.512998,-14.447997,14.311376,7.115647,-33.362056,-2.512964,0.0092,0.00003
B,10.811,5,2,13,1,2,72,6,2,1,0,0,0,5,10,14,3,3,3,3,3,1.561,1.355,8.298,0.280,4.29,4.969,2.04,1.9,4.29,2.04,2.051,2.02,5.66,1.9,9.04,0.870,0.820,0.410,0.270,0.780,1.800,0.800,0.250,0.840,0.850,0.776,0.980,0.800,3,2352.15,4275,2.34,1.02,50.2,489.7,573,27,0.000006,5.81,178,NaN,NaN,49,NaN,10000,0.0001,-24.344198,24.161047,11.503002,-56.484587,-3.52366,-24.353614,24.172451,11.528234,-56.51674,-3.537559,-24.347331,24.170449,11.50476,-56.502555,-3.519985,-24.347331,24.169382,11.504547,-56.501346,-3.519913,760,2.4
C,12.011,6,2,14,1,3,77,7,2,2,0,0,0,4,10,14,4,4,4,4,4,1.819,1.163,11.260,1.265,6.27,6.234,2.55,2.37,6.27,2.55,2.544,2.55,8.58,2.55,17.6,0.670,0.770,0.400,0.160,0.770,1.700,0.640,0.290,0.760,0.700,0.620,0.914,0.771,1.8,3640.15,5100.15,2.25,0.71,105,355.8,717,129,0.0000071,7.37,443,NaN,NaN,NaN,NaN,0.00001,100000,-37.425749,37.190391,17.627997,-87.515412,-4.728724,-37.470031,37.242662,17.722784,-87.646436,-4.789041,-37.434171,37.215681,17.632308,-87.559852,-4.722308,-37.43417,37.213317,17.631889,-87.557199,-4.722177,0.0035,0.000015
N,14.007,7,2,15,1,3,82,7,2,3,0,0,0,3,10,14,5,5,5,3,3,2.068,1.023,14.534,-0.001,7.3,7.496,3.04,2.85,7.3,3.04,3.066,3.12,9.77,2.98,30.5,0.560,0.750,1.320,1.460,0.720,1.550,0.540,0.300,0.710,0.650,0.521,0.880,0.700,1.1,63.25,77.35,0.00125,1.04,0.3604,2.7928,473,0.02598,NaN,4.92,1.2,NaN,NaN,NaN,NaN,NaN,NaN,-54.025016,53.731727,25.799845,-127.416229,-6.140359,-54.136799,53.861177,26.005085,-127.71784,-6.285222,-54.043484,53.787205,25.808674,-127.509302,-6.13006,-54.043482,53.782518,25.807921,-127.504081,-6.12984,1.91,0.0048
O,15.999,8,2,16,1,3,87,7,2,4,0,0,0,2,10,14,6,6,6,2,0,2.001,1.058,13.618,1.461,7.54,8.786,3.44,3.32,7.54,3.44,3.61,3.62,12.41,3.45,48.4,0.480,0.730,1.260,1.400,0.640,1.520,0.470,1.210,0.660,0.600,0.450,NaN,0.660,0.793,54.75,90.15,0.00143,0.92,0.22259,3.4099,249,0.02674,NaN,2.62,2.24694868,NaN,NaN,NaN,NaN,NaN,NaN,-74.473077,74.116881,36.331102,-177.152578,-7.768482,-74.52741,74.178813,36.409873,-177.279326,-7.83677,-74.508653,74.223804,36.3473,-177.326837,-7.75292,-74.508648,74.215239,36.346037,-177.317352,-7.752572,0.00028,0.000001
F,18.998,9,2,17,1,3,93,8,2,5,0,0,0,1,10,14,7,7,7,1,0,2.263,0.835,17.423,3.400,10.41,10.038,3.98,3.78,10.41,3.98,4.193,4.23,15.6,3.95,72.3,0.420,0.710,1.190,1.330,0.660,1.470,0.410,1.190,0.570,0.500,0.396,NaN,0.640,0.634,53.35,85.05,0.0017,0.82,0.2552,3.2698,79,0.0279,NaN,0.84,2.2,NaN,NaN,NaN,NaN,NaN,NaN,-99.099648,98.676131,49.535385,-237.688846,-9.622319,-99.114192,98.6925,49.553571,-237.720045,-9.640218,-99.162239,98.864327,49.562929,-237.989645,-9.599851,-99.162225,98.849634,49.560919,-237.97345,-9.599327,0.0096,0.00002
Na,22.990,11,3,1,0,1,2,1,1,0,0,0,1,6,10,14,1,1,1,1,1,1.842,2.584,5.139,0.549,2.85,2.438,0.93,0.89,2.85,0.93,0.869,0.95,2.64,0.9,1.08,1.900,1.540,1.160,0.720,1.800,2.270,2.650,1.160,1.660,1.800,1.713,1.896,1.572,23.6,370.95,1156.15,0.971,1.23,2.598,96.96,109,141,0.00007,1.113,6.8,3.3,10,NaN,0.00069,4.7E-08,21000000,-161.44006,160.896571,79.732497,-388.546372,-13.522757,-161.447625,160.907255,79.784904,-388.606022,-13.533763,-161.601691,161.382981,79.804831,-389.308645,-13.480857,-161.601623,161.344619,79.799934,-389.266444,-13.479731,0.53,0.0007
Mg,24.305,12,3,2,0,1,8,2,2,0,0,0,0,6,10,14,2,2,2,2,2,2.248,0.674,7.646,-0.414,3.75,3.611,1.31,1.31,3.75,1.31,1.293,1.32,3.93,1.2,2.35,1.450,1.300,0.860,0.540,1.600,1.730,2.030,0.860,1.410,1.500,1.279,1.598,1.364,10.6,922.15,1363.15,1.74,1.02,8.954,127.4,148,156,0.0000248,1.51,35.6,17,45,NaN,0.26,4.4E-08,23000000,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.382965,199.274807,95.78447,-479.041925,-15.400316,-199.382839,199.215426,95.777042,-478.976612,-15.398695,0.063,0.0001
Al,26.982,13,3,13,1,1,73,5,2,1,0,0,0,5,10,14,3,3,3,3,3,1.989,0.761,5.986,0.435,3.23,4.639,1.61,1.64,3.23,1.61,1.613,1.55,5.89,1.5,4.35,1.180,1.180,0.680,0.400,1.410,1.840,1.680,0.530,1.210,1.250,1.312,1.429,1.248,8.3,933.15,2740.15,2.7,0.9,10.79,293.4,326,237,0.0000231,3.39,75.2,26,70,0.167,0.245,0.000000026,38000000,-241.315573,240.663489,112.670733,-577.205757,-17.444038,-241.321156,240.670669,112.705697,-577.245289,-17.452233,-241.669323,241.729117,112.827267,-578.851985,-17.373722,-241.669101,241.64091,112.816539,-578.755072,-17.371477,0.233,0.03
Si,28.086,14,3,14,1,3,78,6,2,2,0,0,0,4,10,14,4,4,4,4,4,2.321,0.652,8.152,1.388,4.77,5.524,1.9,1.98,4.77,1.9,1.916,1.87,6.8,1.8,7.26,1.110,1.110,0.540,0.440,1.100,2.100,1.420,0.400,0.110,1.100,1.068,1.316,1.173,5.4,1683.15,2628.15,2.33,0.71,50.55,384.22,452,148,0.0000026,4.63,98,60,47,9.6301303,2.3,0.001,1000,-288.198397,287.48774,131.767814,-687.900675,-19.553276,-288.222945,287.518355,131.881748,-688.036467,-19.586581,-288.696925,288.990326,131.982541,-690.205114,-19.464678,-288.696551,288.863348,131.967556,-690.0658,-19.461655,0.166,0.0002
P,30.974,15,3,15,1,3,83,7,2,3,0,0,0,3,10,14,5,5,5,3,3,3.412,5.752,10.487,0.746,5.62,6.341,2.19,2.32,5.62,2.19,2.253,2.22,8.33,2.1,11.2,0.980,1.060,0.580,1.840,1.020,1.800,1.240,0.310,1.070,1.000,0.919,1.280,1.100,3.6,317.25,553.15,1.82,0.77,0.657,12.129,315,0.235,NaN,3.43,30.4,NaN,NaN,NaN,NaN,0.0000001,10000000,-339.946219,339.173459,153.065007,-810.4001,-21.784585,-340.005794,339.246155,153.286547,-810.676999,-21.861498,-340.631017,341.238665,153.353051,-813.54795,-21.674782,-340.630409,341.06068,153.332668,-813.352953,-21.670803,0.18,0.0002
S,32.066,16,3,16,1,3,88,7,2,4,0,0,0,2,10,14,6,6,6,2,2,2.617,5.787,10.360,2.072,6.22,6.838,2.58,2.65,6.22,2.58,2.589,2.49,11.88,2.53,16.4,0.880,1.020,1.700,1.810,1.030,1.800,1.100,0.430,1.050,1.000,0.810,1.270,1.040,2.9,385.95,717.85,2.07,0.71,1.7175,9.8,279,0.269,NaN,2.85,7.7,NaN,NaN,NaN,NaN,1E+15,1E-15,-396.716081,395.878143,176.68795,-945.141155,-24.141019,-396.743948,395.911428,176.770628,-945.250263,-24.175741,-397.636285,398.654968,177.067057,-949.351433,-24.006876,-397.635327,398.411116,177.039936,-949.084638,-24.001741,0.52,0.00055
Cl,35.453,17,3,17,1,3,94,8,2,5,0,0,0,1,10,14,7,7,7,1,0,2.928,0.517,12.968,3.618,8.3,7.292,3.16,2.98,8.3,3.16,2.869,2.82,14.06,2.97,23,0.790,0.990,1.670,1.380,1.050,1.750,1.010,1.670,1.020,1.000,0.725,NaN,0.994,2.2,172.15,238.55,0.00321,0.48,3.23,10.2,121,0.0089,NaN,1.4,1.1,NaN,NaN,NaN,NaN,100,0.01,-458.664179,457.758293,202.772337,-1092.568993,-26.625816,-458.671463,457.766864,202.790718,-1092.594365,-26.63468,-459.877336,461.421464,203.263193,-1098.098008,-26.463985,-459.87587,461.093903,203.227774,-1097.740075,-26.457471,35.3,0.033
K,39.098,19,4,1,0,1,3,1,1,0,0,0,1,6,10,14,1,1,1,1,1,1.694,0.894,4.341,0.497,2.42,2.003,0.82,0.8,2.42,0.82,0.734,0.84,2.48,0.8,0.467,2.430,1.960,1.520,1.380,2.300,2.750,3.690,1.520,2.030,2.200,2.162,2.349,2.025,43.4,336.4,1033.15,0.86,0.75,2.334,79.87,90,102.4,8.30E-05,0.934,3.2,1.3,3.53,NaN,0.000363,7E-08,14000000,-598.20059,597.17213,257.381524,-1421.104115,-31.650129,-598.206032,597.179968,257.437,-1421.164934,-31.658067,-600.211193,603.251432,258.181811,-1430.22181,-31.422626,-600.208027,602.687891,258.123548,-1429.606938,-31.412527,2.1,0.0018
Ca,40.078,20,4,2,0,1,9,2,2,0,0,0,0,6,10,14,2,2,2,2,2,2.680,1.004,6.113,0.021,2.2,2.697,1,1.17,2.2,1,1.034,1.11,2.19,1,1.02,1.940,1.740,1.140,1.000,2.010,2.310,3.000,1.140,1.760,1.800,1.690,1.970,1.736,22.8,1112.15,1757.15,1.55,0.63,8.54,153.3,178,200,0.0000223,1.84,17.2,7.4,20,NaN,0.167,3.4E-08,29000000,-675.742283,674.657334,285.20613,-1601.463209,-34.142538,-675.742283,674.657334,285.20613,-1601.463209,-34.142538,-678.279346,682.333976,286.211793,-1612.948417,-33.876698,-678.274863,681.609187,286.138343,-1612.158072,-33.864321,0.43,0.00037
Sc,44.956,21,4,3,2,1,13,3,2,0,1,0,0,6,9,14,3,2,1,3,3,2.777,0.969,6.562,0.187,3.34,2.857,1.36,1.5,3.34,1.36,1.19,1.17,1.83,1.3,1.18,1.840,1.440,0.890,0.750,1.620,2.300,2.750,0.890,1.700,1.600,1.570,1.620,1.439,17.8,1814.15,3105.15,2.99,0.6,14.1,314.2,378,15.8,0.0000102,3.9,56.6,29,74,NaN,0.75,0.00000055,1800000,-758.679275,757.5252,318.555762,-1797.853811,-36.906426,-758.685248,757.532115,318.60574,-1797.907745,-36.915357,-761.836473,767.085779,319.734188,-1812.061408,-36.595031,-761.830251,766.171674,319.643878,-1811.065621,-36.580182,27.2,0.025
Ti,47.867,22,4,4,2,1,45,4,2,0,2,0,0,6,8,14,4,2,2,4,4,2.833,0.950,6.828,0.083,3.45,3.004,1.54,1.86,3.45,1.54,1.38,1.23,2.28,1.6,1.37,1.760,1.360,1.000,0.860,1.420,2.150,2.580,0.750,1.600,1.400,1.477,1.467,1.324,14.6,1933.15,3560.15,4.54,0.52,15.45,421,470,21.9,0.0000086,4.85,108,44,116,0.97,0.715,0.0000004,2500000,-847.277216,846.050533,355.232355,-2008.740849,-39.819256,-847.303463,846.080558,355.394778,-2008.923404,-39.855395,-851.162463,857.825375,356.620978,-2026.150639,-39.458177,-851.153978,856.687119,356.511854,-2024.912351,-39.440599,6.1,0.0044
V,50.942,23,4,5,2,1,47,4,2,0,3,0,0,6,7,14,5,2,3,5,5,2.816,0.956,6.746,0.529,3.6,3.148,1.63,2.22,3.6,1.63,1.53,1.27,2.42,1.9,1.58,1.710,1.250,0.930,0.790,1.340,2.050,2.430,0.680,1.530,1.350,1.401,1.338,1.224,12.4,2163.15,3653.15,6.11,0.49,20.9,453,514,30.7,0.0000084,5.31,158,47,128,0.628,0.628,0.0000002,5000000,-758.679275,757.5252,318.555762,-1797.853811,-36.906426,-941.742204,940.448753,395.485129,-2234.721054,-42.955032,-946.412584,954.735363,396.792977,-2255.484723,-42.456201,-946.401188,953.333535,396.662692,-2253.961805,-42.43561,5.06,0.0033
